"Reads","TimeStamp","Writes"
"0","7-5-2015 9:52:00","0"
"0","7-5-2015 9:51:40","0"
"0","7-5-2015 9:51:20","0"
"0","7-5-2015 9:51:00","0"
"0","7-5-2015 9:50:40","0"
"0","7-5-2015 9:50:20","0"
"0","7-5-2015 9:50:00","0"
"0","7-5-2015 9:49:40","0"
"0","7-5-2015 9:49:20","1"
"0","7-5-2015 9:49:00","0"
"0","7-5-2015 9:48:40","0"
"0","7-5-2015 9:48:20","1"
"0","7-5-2015 9:48:00","0"
"0","7-5-2015 9:47:40","0"
"0","7-5-2015 9:47:20","0"
"0","7-5-2015 9:47:00","0"
"0","7-5-2015 9:46:40","0"
"0","7-5-2015 9:46:20","0"
"0","7-5-2015 9:46:00","0"
"0","7-5-2015 9:45:40","0"
"0","7-5-2015 9:45:20","0"
"0","7-5-2015 9:45:00","0"
"0","7-5-2015 9:44:40","0"
"0","7-5-2015 9:44:20","1"
"0","7-5-2015 9:44:00","5"
"0","7-5-2015 9:43:40","0"
"0","7-5-2015 9:43:20","0"
"0","7-5-2015 9:43:00","0"
"0","7-5-2015 9:42:40","1"
"0","7-5-2015 9:42:20","0"
"0","7-5-2015 9:42:00","0"
"0","7-5-2015 9:41:40","0"
"0","7-5-2015 9:41:20","0"
"0","7-5-2015 9:41:00","0"
"0","7-5-2015 9:40:40","0"
"0","7-5-2015 9:40:20","0"
"0","7-5-2015 9:40:00","0"
"0","7-5-2015 9:39:40","0"
"0","7-5-2015 9:39:20","1"
"0","7-5-2015 9:39:00","0"
"0","7-5-2015 9:38:40","1"
"0","7-5-2015 9:38:20","1"
"0","7-5-2015 9:38:00","0"
"0","7-5-2015 9:37:40","0"
"0","7-5-2015 9:37:20","0"
"0","7-5-2015 9:37:00","0"
"0","7-5-2015 9:36:40","0"
"0","7-5-2015 9:36:20","0"
"0","7-5-2015 9:36:00","0"
"0","7-5-2015 9:35:40","0"
"0","7-5-2015 9:35:20","0"
"0","7-5-2015 9:35:00","0"
"0","7-5-2015 9:34:40","0"
"0","7-5-2015 9:34:20","0"
"0","7-5-2015 9:34:00","0"
"0","7-5-2015 9:33:40","1"
"0","7-5-2015 9:33:20","0"
"0","7-5-2015 9:33:00","0"
"0","7-5-2015 9:32:40","0"
"0","7-5-2015 9:32:20","0"
"0","7-5-2015 9:52:00","0"
"0","7-5-2015 9:51:40","0"
"0","7-5-2015 9:51:20","0"
"0","7-5-2015 9:51:00","0"
"0","7-5-2015 9:50:40","0"
"0","7-5-2015 9:50:20","0"
"0","7-5-2015 9:50:00","0"
"0","7-5-2015 9:49:40","0"
"0","7-5-2015 9:49:20","1"
"0","7-5-2015 9:49:00","0"
"0","7-5-2015 9:48:40","0"
"0","7-5-2015 9:48:20","1"
"0","7-5-2015 9:48:00","0"
"0","7-5-2015 9:47:40","0"
"0","7-5-2015 9:47:20","0"
"0","7-5-2015 9:47:00","0"
"0","7-5-2015 9:46:40","0"
"0","7-5-2015 9:46:20","0"
"0","7-5-2015 9:46:00","0"
"0","7-5-2015 9:45:40","0"
"0","7-5-2015 9:45:20","0"
"0","7-5-2015 9:45:00","0"
"0","7-5-2015 9:44:40","0"
"0","7-5-2015 9:44:20","1"
"0","7-5-2015 9:44:00","5"
"0","7-5-2015 9:43:40","0"
"0","7-5-2015 9:43:20","0"
"0","7-5-2015 9:43:00","0"
"0","7-5-2015 9:42:40","1"
"0","7-5-2015 9:42:20","0"
"0","7-5-2015 9:42:00","0"
"0","7-5-2015 9:41:40","0"
"0","7-5-2015 9:41:20","0"
"0","7-5-2015 9:41:00","0"
"0","7-5-2015 9:40:40","0"
"0","7-5-2015 9:40:20","0"
"0","7-5-2015 9:40:00","0"
"0","7-5-2015 9:39:40","0"
"0","7-5-2015 9:39:20","1"
"0","7-5-2015 9:39:00","0"
"0","7-5-2015 9:38:40","1"
"0","7-5-2015 9:38:20","1"
"0","7-5-2015 9:38:00","0"
"0","7-5-2015 9:37:40","0"
"0","7-5-2015 9:37:20","0"
"0","7-5-2015 9:37:00","0"
"0","7-5-2015 9:36:40","0"
"0","7-5-2015 9:36:20","0"
"0","7-5-2015 9:36:00","0"
"0","7-5-2015 9:35:40","0"
"0","7-5-2015 9:35:20","0"
"0","7-5-2015 9:35:00","0"
"0","7-5-2015 9:34:40","0"
"0","7-5-2015 9:34:20","0"
"0","7-5-2015 9:34:00","0"
"0","7-5-2015 9:33:40","1"
"0","7-5-2015 9:33:20","0"
"0","7-5-2015 9:33:00","0"
"0","7-5-2015 9:32:40","0"
"0","7-5-2015 9:32:20","0"
"0","21-5-2015 11:20:20","0"
"0","21-5-2015 11:20:00","0"
"0","21-5-2015 11:19:40","0"
"0","21-5-2015 11:19:20","0"
"0","21-5-2015 11:19:00","0"
"0","21-5-2015 11:18:40","0"
"0","21-5-2015 11:18:20","0"
"0","21-5-2015 11:18:00","0"
"0","21-5-2015 11:17:40","0"
"0","21-5-2015 11:17:20","0"
"0","21-5-2015 11:17:00","0"
"0","21-5-2015 11:16:40","0"
"0","21-5-2015 11:16:20","0"
"0","21-5-2015 11:16:00","0"
"0","21-5-2015 11:15:40","0"
"0","21-5-2015 11:15:20","0"
"0","21-5-2015 11:15:00","0"
"0","21-5-2015 11:14:40","71"
"0","21-5-2015 11:14:20","0"
"1293","21-5-2015 11:14:00","71"
"0","21-5-2015 11:13:40","0"
"0","21-5-2015 11:13:20","1"
"0","21-5-2015 11:13:00","1"
"0","21-5-2015 11:12:40","0"
"0","21-5-2015 11:12:20","0"
"0","21-5-2015 11:12:00","0"
"0","21-5-2015 11:11:40","0"
"0","21-5-2015 11:11:20","0"
"0","21-5-2015 11:11:00","0"
"0","21-5-2015 11:10:40","0"
"0","21-5-2015 11:10:20","0"
"0","21-5-2015 11:10:00","0"
"0","21-5-2015 11:09:40","0"
"0","21-5-2015 11:09:20","0"
"0","21-5-2015 11:09:00","0"
"0","21-5-2015 11:08:40","0"
"0","21-5-2015 11:08:20","0"
"0","21-5-2015 11:08:00","0"
"0","21-5-2015 11:07:40","0"
"0","21-5-2015 11:07:20","0"
"0","21-5-2015 11:07:00","0"
"0","21-5-2015 11:06:40","0"
"0","21-5-2015 11:06:20","0"
"0","21-5-2015 11:06:00","0"
"0","21-5-2015 11:05:40","0"
"0","21-5-2015 11:05:20","0"
"0","21-5-2015 11:05:00","1"
"0","21-5-2015 11:04:40","0"
"0","21-5-2015 11:04:20","0"
"0","21-5-2015 11:04:00","1"
"0","21-5-2015 11:03:40","0"
"0","21-5-2015 11:03:20","45"
"1006","21-5-2015 11:03:00","88"
"6064","21-5-2015 11:02:40","348"
"13724","21-5-2015 11:02:20","20"
"6980","21-5-2015 11:02:00","8"
"3339","21-5-2015 11:01:40","4"
"3171","21-5-2015 11:01:20","3"
"4240","21-5-2015 11:01:00","5"
"8039","21-5-2015 11:00:40","11"
"0","21-5-2015 11:20:20","0"
"0","21-5-2015 11:20:00","0"
"0","21-5-2015 11:19:40","0"
"0","21-5-2015 11:19:20","0"
"0","21-5-2015 11:19:00","0"
"0","21-5-2015 11:18:40","0"
"0","21-5-2015 11:18:20","0"
"0","21-5-2015 11:18:00","0"
"0","21-5-2015 11:17:40","0"
"0","21-5-2015 11:17:20","0"
"0","21-5-2015 11:17:00","0"
"0","21-5-2015 11:16:40","0"
"0","21-5-2015 11:16:20","0"
"0","21-5-2015 11:16:00","0"
"0","21-5-2015 11:15:40","0"
"0","21-5-2015 11:15:20","0"
"0","21-5-2015 11:15:00","0"
"0","21-5-2015 11:14:40","71"
"0","21-5-2015 11:14:20","0"
"1293","21-5-2015 11:14:00","71"
"0","21-5-2015 11:13:40","0"
"0","21-5-2015 11:13:20","1"
"0","21-5-2015 11:13:00","1"
"0","21-5-2015 11:12:40","0"
"0","21-5-2015 11:12:20","0"
"0","21-5-2015 11:12:00","0"
"0","21-5-2015 11:11:40","0"
"0","21-5-2015 11:11:20","0"
"0","21-5-2015 11:11:00","0"
"0","21-5-2015 11:10:40","0"
"0","21-5-2015 11:10:20","0"
"0","21-5-2015 11:10:00","0"
"0","21-5-2015 11:09:40","0"
"0","21-5-2015 11:09:20","0"
"0","21-5-2015 11:09:00","0"
"0","21-5-2015 11:08:40","0"
"0","21-5-2015 11:08:20","0"
"0","21-5-2015 11:08:00","0"
"0","21-5-2015 11:07:40","0"
"0","21-5-2015 11:07:20","0"
"0","21-5-2015 11:07:00","0"
"0","21-5-2015 11:06:40","0"
"0","21-5-2015 11:06:20","0"
"0","21-5-2015 11:06:00","0"
"0","21-5-2015 11:05:40","0"
"0","21-5-2015 11:05:20","0"
"0","21-5-2015 11:05:00","1"
"0","21-5-2015 11:04:40","0"
"0","21-5-2015 11:04:20","0"
"0","21-5-2015 11:04:00","1"
"0","21-5-2015 11:03:40","0"
"0","21-5-2015 11:03:20","45"
"1006","21-5-2015 11:03:00","88"
"6064","21-5-2015 11:02:40","348"
"13724","21-5-2015 11:02:20","20"
"6980","21-5-2015 11:02:00","8"
"3339","21-5-2015 11:01:40","4"
"3171","21-5-2015 11:01:20","3"
"4240","21-5-2015 11:01:00","5"
"8039","21-5-2015 11:00:40","11"
